iqs_verbatim_2015.vin,iqs_verbatim_2015.id,iqs_verbatim_2015.make,iqs_verbatim_2015.series,iqs_verbatim_2015.model_and_type,iqs_verbatim_2015.model_code,iqs_verbatim_2015.motor,iqs_verbatim_2015.getriebe,iqs_verbatim_2015.werk,iqs_verbatim_2015.produktion,iqs_verbatim_2015.lackfarbe,iqs_verbatim_2015.polster_code,iqs_verbatim_2015.sas,iqs_verbatim_2015.total_problems,iqs_verbatim_2015.problems_indicated,iqs_verbatim_2015.category,iqs_verbatim_2015.problem,iqs_verbatim_2015.defect_malfunction,iqs_verbatim_2015.verbatim,iqs_verbatim_2015.mileage,iqs_verbatim_2015.took_to_dealer,iqs_verbatim_2015.resolved,iqs_verbatim_2015.severity
4dd760230e100993c9ba1dabba724cc4,B8B3574F,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,4/25/14,A52,LUCX,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0417;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;05AG;05AS;05DL;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TH;08TN;0927;0992;09AA,4,FCD50; AEN06; SEAT13; INT01,Features/Controls/Displays (FCD),FCD50: Heated Steering Wheel - Controls DTU/Poor Location,D,My steering wheel overheats and I have to turn it off after about a minute of use.,10200,Yes,Not at all,3
4dd760230e100993c9ba1dabba724cc4,B8B3574F,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,4/25/14,A52,LUCX,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0417;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;05AG;05AS;05DL;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TH;08TN;0927;0992;09AA,4,FCD50; AEN06; SEAT13; INT01,Audio/Communication/Entertainment/Navigation (ACEN),AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,D,Doesnt always recognize phone book command,10200,No,,2
4dd760230e100993c9ba1dabba724cc4,B8B3574F,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,4/25/14,A52,LUCX,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0417;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;05AG;05AS;05DL;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TH;08TN;0927;0992;09AA,4,FCD50; AEN06; SEAT13; INT01,Seats,SEAT13: Heated Seats - Do Not Work at All,M,Drivers seat only did not work. Button kept turning off. Dealer replaced seat and works fine now.,10200,Yes,Entirely,1
4dd760230e100993c9ba1dabba724cc4,B8B3574F,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,4/25/14,A52,LUCX,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02K8;02VB;0302;0316;0319;0322;03AG;03AT;0402;0417;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;05AG;05AS;05DL;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NH;0823;0845;0853;0876;08KL;08SL;08SM;08TH;08TN;0927;0992;09AA,4,FCD50; AEN06; SEAT13; INT01,Interior,INT01: Instrument Panel/Dashboard - Squeak/Rattle/Other Noise,M,Noise is sporadic,10200,No,,3
031a3605da6bcddc606cf81e0d6662c2,B8B32BAQ,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,5/31/14,475,LUD3,01CA;01CC;01CD;0200;0205;0216;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;04FU;04NE;04NG;04U2;0508;0521;0522;0524;0534;0544;0563;05A1;05AG;05AS;05DL;0609;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08S4;08SL;08SM;08TH;08TN;0927;0992;09AA,1,AEN07,Audio/Communication/Entertainment/Navigation (ACEN),AEN07: Built-in Bluetooth Mobile Phone/Device Frequent Pairing/Connectivity Issues,D,,,No,,2
69a4facee49f48b8ce74eccb595a4c90,2BA6688F,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,6/5/14,A75,LUSW,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02A1;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FU;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NS;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,3,EXT18; AEN06; AEN12,Exterior,EXT18: Trunk/Hatch/Tailgate - Handle/Latch/Release - Broken/NW,M,(Copied from EXT97): I can't get the tailgate to open by using my foot,12500,Yes,Partially,2
69a4facee49f48b8ce74eccb595a4c90,2BA6688F,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,6/5/14,A75,LUSW,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02A1;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FU;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NS;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,3,EXT18; AEN06; AEN12,Audio/Communication/Entertainment/Navigation (ACEN),AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,D,Told me today that navigation was down.  Really wanted to get to my destination. Finally called the person I was going to visit and she guided me by phone!,12500.00,Yes,Don't know,5
69a4facee49f48b8ce74eccb595a4c90,2BA6688F,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,6/5/14,A75,LUSW,01CA;01CC;01CD;0205;0216;0248;0249;0255;0258;02A1;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FU;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0645;0655;0676;0697;06AC;06AE;06AK;06AM;06AP;06NS;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,3,EXT18; AEN06; AEN12,Audio/Communication/Entertainment/Navigation (ACEN),AEN12: Navigation System - Inaccurate,D,System defaults to Oklahoma and I live in Indiana,12500,Yes,Not at all,5
0196e6f88f5219427b08334155eae97d,B697B63K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/12/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,7,EXT38; FCD14; FCD29; AEN05; SEAT19; INT23; INT34,Exterior,EXT38: Excessive Wind Noise,M,,3500,No,,3
0196e6f88f5219427b08334155eae97d,B697B63K,BMW,X3,BMW X3 4dr SUV,F25,N20,AUT,Spartanburg,7/12/14,A52,LUSQ,01CA;01CC;01CD;0200;0205;0216;0248;0249;0255;0258;02VB;0302;0316;0319;0322;03AG;03AT;0402;0420;0423;0430;0431;0459;0465;0488;0493;0494;0496;04FW;04NE;04NG;04U2;0502;0508;0521;0534;0544;0563;05A1;0609;0610;0645;0655;0688;0697;06AC;06AE;06AK;06AM;06AP;06NS;07HW;0823;0845;0853;0876;08KL;08SL;08SM;08TN;0927;0992;09AA,7,EXT38; FCD14; FCD29; AEN05; SEAT19; INT23; INT34,Features/Controls/Displays (FCD),FCD14: Door Locks/Keyless Entry - Controls/Icons DTU/Poor Location,D,,3500.00,No,,3
