iqs_verbatim_2016.vin,iqs_verbatim_2016.vin7,iqs_verbatim_2016.squish_vin,iqs_verbatim_2016.sequence_number,iqs_verbatim_2016.make,iqs_verbatim_2016.series,iqs_verbatim_2016.model_and_type,iqs_verbatim_2016.produktionsdatum,iqs_verbatim_2016.baureihe,iqs_verbatim_2016.werk,iqs_verbatim_2016.motor,iqs_verbatim_2016.getriebe,iqs_verbatim_2016.lackfarbe,iqs_verbatim_2016.polster_material,iqs_verbatim_2016.polster_farbe,iqs_verbatim_2016.sonderausstattung,iqs_verbatim_2016.totalproblems,iqs_verbatim_2016.problems_indicated,iqs_verbatim_2016.category,iqs_verbatim_2016.problem,iqs_verbatim_2016.malfunction_design_unknown,iqs_verbatim_2016.verbatim,iqs_verbatim_2016.mileage,iqs_verbatim_2016.took_to_dealer,iqs_verbatim_2016.resolved,iqs_verbatim_2016.severity,,,,,,,,,,,,,,,
WBA3R1C53GK529759,K529759,WBA3R1C5GK,2547672J,BMW,4 Series,BMW 4 Series 2dr Cpe,11/10/15,F32,01.01 M�nchen,N55,AUT,GLACIERSILBER METALLIC,LC LEDER DAKOTA,SW SCHWARZ,01CA; 01CB; 0258; 02PL; 02TB; 02VB; 0302; 0319; 0322; 0337; 03AG; 03DZ; 0403; 0415; 0423; 0430; 0431; 0459; 0465; 0481; 0488; 0493; 0494; 04FU; 04NE; 0508; 0521; 0522; 0524; 0534; 0544; 0563; 0575; 05DS; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NH; 06WA; 0704; 0710; 0715; 0760; 0775; 0823; 0840; 0842; 0845; 0853; 08KL; 08S4; 08TN; 0925; 0992; 0993; 09AA,1,HVAC01,"Heating, Ventilation, and Air Conditioning (HVAC)",HVAC01: Front Heating/Cooling Controls - Broken/NW,NULL,"(Copied from HVAC97): Passenger side vent selection to all three zones does not equal that of the drivers side.  Appears to be no upper zone selection but does have middle and lower.  Driver side has upper, middle and lower selection.  Also, passenger side has excessive air discharge in the glove box",,,,,,,,,,,,,,,,,,,
5UXKR0C58G0P29524,0P29524,5UXKR0C5G0,2282786S,BMW,X5,BMW X5 4dr SUV,11/11/15,F15,75.10 Spartanburg,N55,AUT,MINERALSILBER METALLIC,LC LEDER DAKOTA,FY CANBERRABEIGE(SW),01CA; 0212; 0245; 0255; 0258; 02H7; 02VB; 0302; 0319; 0322; 0346; 03AA; 03AG; 0402; 0420; 0423; 0430; 0441; 0459; 0488; 0493; 0494; 04CV; 04NB; 04NE; 0508; 0522; 0524; 0563; 0575; 05A1; 0609; 0610; 0645; 0655; 0676; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0992; 09AA,2,"SEAT19, SEAT25",Seats,SEAT19: Memory Seats - Controls DTU/Poor Location,D,NULL,3000,No,,,,,,,,,,,,,,,,,
5UXKR0C58G0P29524,0P29524,5UXKR0C5G0,2282786S,BMW,X5,BMW X5 4dr SUV,11/11/15,F15,75.10 Spartanburg,N55,AUT,MINERALSILBER METALLIC,LC LEDER DAKOTA,FY CANBERRABEIGE(SW),01CA; 0212; 0245; 0255; 0258; 02H7; 02VB; 0302; 0319; 0322; 0346; 03AA; 03AG; 0402; 0420; 0423; 0430; 0441; 0459; 0488; 0493; 0494; 04CV; 04NB; 04NE; 0508; 0522; 0524; 0563; 0575; 05A1; 0609; 0610; 0645; 0655; 0676; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 08KL; 08S4; 08SL; 08SM; 08TN; 0992; 09AA,2,"SEAT19, SEAT25",Seats,SEAT25: Seat Materials Scuffs/Soil Easily,D,NULL,3000,No,,,,,,,,,,,,,,,,,
5UXWZ7C52G0T42543,0T42543,5UXWZ7C5G0,25446029,BMW,X3,BMW X3 4dr SUV,1/8/16,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,LU LEDER NEVADA,SW SCHWARZ,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 0322; 03AG; 03AT; 0402; 0420; 0423; 0430; 0431; 0459; 0465; 0488; 0493; 04FU; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,1,AEN06,Audio/Communication/Entertainment/Navigation (ACEN),AEN06: Built-in Voice Recognition Frequently Doesn't Recognize/Misinterprets Commands,D,,1500,No,,3,,,,,,,,,,,,,,,
WBAKP9C57GD980259,D980259,WBAKP9C5GD,2405696S,BMW,5 Series,BMW 5 Series 4dr Sdn,8/4/15,F10,02.04 Dingolfing,N63T,AUT,ALPINWEISS 3,LZ EXCLUSIVLEDER NAPPA,MW MOCCA EXKLUSIVNAHT (MO/SW),01CA; 01CC; 01CD; 0212; 0248; 0258; 02NB; 02TB; 02VB; 0302; 0316; 0319; 0322; 0323; 0337; 03AG; 03DZ; 0403; 0415; 0416; 0423; 0430; 0431; 0453; 0455; 0456; 0465; 0488; 0494; 0496; 04BN; 04M5; 04U1; 04U2; 04UR; 0502; 0508; 0524; 0534; 0575; 05A1; 05AG; 05AP; 05AS; 05DL; 05DS; 0609; 0610; 0645; 0655; 0688; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NS; 06WA; 0710; 0715; 0760; 0775; 0823; 0845; 0850; 0853; 0876; 08KL; 08S4; 08SM; 08TH; 08TN; 0925; 09AA,1,EXT18,Exterior,EXT18: Trunk/Hatch/Tailgate - Handle/Latch/Release - Broken/NW,M,"(Copied from EXT97): Power trunk opening feature doesn't work as designed.  BMW is aware of the defect and as of yet has no definitive solution.  If you wave your foot under the rear bumper the trunk is supposed to unlatch and open all the way.  However,NULL,1800,Yes,Not at all
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,2015-11-21,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,FCD14", FCD33, AEN04, AEN07, AEN11,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,11/21/15,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,"FCD14, FCD33, AEN04, AEN07, AEN11,NULL, HVAC09, INT23, INT34",,,,,,,,,,,,,,,,,,,,,,,
