,Make,Series,Total_Problems,Category,Mode,Verbatim,Score
0,BMW,X3,4,Features/Controls/Displays (FCD),D,My steering wheel overheats and I have to turn it off after about a minute of use.,0.0
1,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,Doesnt always recognize phone book command,0.0
2,BMW,X3,4,Seats,M,Drivers seat only did not work. Button kept turning off. Dealer replaced seat and works fine now.,0.2023
3,BMW,X3,4,Interior,M,Noise is sporadic,0.0
4,BMW,X3,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
5,BMW,X3,3,Exterior,M,: I can't get the tailgate to open by using my foot,0.0
6,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,Told me today that navigation was down.  Really wanted to get to my destination. Finally called the person I was going to visit and she guided me by phone!,0.0
7,BMW,X3,3,Audio/Communication/Entertainment/Navigation (ACEN),D,System defaults to Oklahoma and I live in Indiana,0.0
8,BMW,X3,7,Exterior,M,,0.0
9,BMW,X3,7,Features/Controls/Displays (FCD),D,,0.0
10,BMW,X3,7,Features/Controls/Displays (FCD),D,,0.0
11,BMW,X3,7,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
12,BMW,X3,7,Seats,D,,0.0
13,BMW,X3,7,Interior,D,,0.0
14,BMW,X3,7,Interior,D,,0.0
15,BMW,X3,2,Features/Controls/Displays (FCD),D,,0.0
16,BMW,X3,2,Interior,D,,0.0
17,BMW,X3,3,Features/Controls/Displays (FCD),D,Expected digital speed and posted speed limits to be included as standard feature given the price of the X-3 : Expected a digital display of speed and posted speed: See comment above about lack of Digital Speed and Posted Speed Limit display,-0.3182
18,BMW,X3,3,Seats,D,I may learn how to better operate with practice. Owners Manual showed more adjustments as compared to our X3. May have over simplified.,0.4404
19,BMW,X3,3,Seats,D,Owners Manual had more adjustmens as compared to our X-3,0.0
20,BMW,X3,1,Engine/Transmission,M,,0.0
21,BMW,X3,2,Audio/Communication/Entertainment/Navigation (ACEN),D,About half the time; the system does not recognize the command,0.0
22,BMW,X3,2,Interior,D,,0.0
23,BMW,X3,1,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
24,BMW,X3,4,Exterior,M,When driving you can hear outside noise; when on the freeway; you cannot hear the radio unless it is turned up. The noise seems to be coming from a gap within the doors.,0.0516
25,BMW,X3,4,Exterior,D,When driving you can hear outside noise.  When driving on the freeway; the noise is loud enough that it drowns out the radio.,-0.4588
26,BMW,X3,4,Audio/Communication/Entertainment/Navigation (ACEN),D,When driving there are times when the reception will fade out; when going through a tunnel or under a bridge there is static with AM stations.,0.0
27,BMW,X3,4,Heating; Ventilation; and Air Conditioning (HVAC),D,The off button and the knob to adjust the temperature seems to do dual functions. If I turn the temperature up; it activates the air.,0.0
28,BMW,X3,2,Exterior,M,,0.0
29,BMW,X3,2,Interior,D,,0.0
30,BMW,X3,6,Audio/Communication/Entertainment/Navigation (ACEN),M,: Car refused to start. After it started; navigation system had changed display. After car was turned off and restarted a few minutes later; everything returned to the previous display.,-0.296
31,BMW,X3,6,Seats,D,,0.0
32,BMW,X3,6,Seats,D,,0.0
33,BMW,X3,6,Seats,D,,0.0
34,BMW,X3,6,Interior,D,Would be better if it was just a space and didn't hold cup tightly,0.4404
35,BMW,X3,6,Engine/Transmission,M,: Car refused to start. After it started; navigation system had changed display. After car was turned off and restarted a few minutes later; everything returned to the previous display.,-0.296
