,Make,Series,Total_Problems,Mode,Verbatim,Score
0,BMW,4 Series,1,,": Passenger side vent selection to all three zones does not equal that of the drivers side.  Appears to be no upper zone selection but does have middle and lower.  Driver side has upper, middle and lower selection.  Also, passenger side has excessive air discharge in the glove box",-0.7351
1,BMW,X5,2,D,,0.0
2,BMW,X5,2,D,,0.0
3,BMW,X3,1,D,,0.0
4,BMW,5 Series,1,M,": Power trunk opening feature doesn't work as designed.  BMW is aware of the defect and as of yet has no definitive solution.  If you wave your foot under the rear bumper the trunk is supposed to unlatch and open all the way.  However,NULL,1800,Yes,Not at all
5UXWX9C5XG0D82342,0D82342,5UXWX9C5G0,24084976,BMW,X3,BMW X3 4dr SUV,2015-11-21,F25,75.10 Spartanburg,N20,AUT,ALPINWEISS 3,KC SENSATEC 1,BI BEIGE,01CA; 01CC; 01CD; 0205; 0216; 0249; 0255; 0258; 02K8; 02VB; 0302; 0316; 0319; 03AG; 03AT; 0420; 0423; 0430; 0431; 0459; 0465; 0493; 04FV; 04NE; 04NG; 04U2; 0508; 0521; 0534; 0544; 0563; 05A1; 0609; 0645; 0676; 0693; 0697; 06AC; 06AE; 06AK; 06AM; 06AP; 06NP; 0823; 0845; 0853; 0876; 08KL; 08SL; 08SM; 08TN; 0927; 0992; 09AA,9,FCD14",-0.3182
5,BMW,X3,9,,,0.0
6,BMW,X3,9,,,0.0
7,BMW,X3,9,,,0.0
8,BMW,X3,9,,,0.0
9,BMW,X3,9,,,0.0
10,BMW,X3,9,,,0.0
11,BMW,X3,9,,,0.0
12,BMW,X3,9,,,0.0
13,BMW,3 Series,1,D,Pairing is not always consistent; sometimes it doesn't pair.,0.0
14,BMW,3 Series,3,,It is louder than I expected it to be in this car,0.0
15,BMW,3 Series,3,,Can't find the name I'm saying for a street or tells me it doesn't exist.,0.0
16,BMW,3 Series,3,,The mirror needs to be bigger and the visor needs to be able to pull out to the side with an extending arm.,0.0
17,BMW,5 Series,8,,,0.0
18,BMW,5 Series,8,,,0.0
19,BMW,5 Series,8,,,0.0
20,BMW,5 Series,8,,,0.0
21,BMW,5 Series,8,,,0.0
22,BMW,5 Series,8,,,0.0
23,BMW,5 Series,8,,,0.0
24,BMW,5 Series,8,2500,Yes,0.4019
25,BMW,6 Series,1,M,,0.0
