,Make,Series,Verbatim,Score
0,BMW,3 Series,"I did not get the LED headlights on my car, but I think the vehicle should've come standard with xenon lights to help with night time visibility.",0.5499
1,BMW,3 Series,Vehicle's traffic information doesn't seem to be the best.  The Google Maps traffic info on my iPhone 7 seems more accurate.,0.6369
2,BMW,3 Series,Behind the cup holders.  Verticle.  Seriously?  I use it for my radar detector.,-0.1779
3,BMW,3 Series,Make it simple like Google Maps or Waze.,0.3612
4,BMW,3 Series,Not deep.  Phone charger in the way.  Not for my phone.  Totally less space than my 2011 M3.  No extra charger plug in either.,-0.296
5,BMW,3 Series,It's under the console.  Difficult to get in and out.,-0.3612
6,BMW,3 Series,IMPOSSIBLE to close hood without slamming it.,0.0
7,BMW,3 Series,"paint is super thin on bumpers, hood, fenders, rocker panels. covered in rock chips after just 3000 miles",0.5994
8,BMW,3 Series,: pebbles get stuck in backing plate behind wheel/brake and cause a grinding metallic noise,-0.2263
9,BMW,3 Series,bolsters are not tight enough,0.0
10,BMW,3 Series,main door seal and shadowline exterior window trim get dirty and causes all 4 doors to squeak constantly. cleaning both the door seal and the window trim fixes this for a short period of time.,-0.4404
11,BMW,3 Series,overhead map dome light behind front seats rattles,0.0
12,BMW,6 Series,The Voice command system misunderstand and misinterprets names of places etc. Also the navigation is frequently inaccurate or not the most efficient way to get to a location vs waze or googlemaps.,-0.6185
13,BMW,6 Series,"This is just a design flaw.  If a passenger uses the usb port for their iphone to charge their phone, but I am using my phone for music, my phone will be kicked out of the system without notification or permission.",0.0
14,BMW,7 Series,kick under trunk opener would not work,0.0
15,BMW,3 Series,Carplay system does not pick up voice despite confirmed connection to iPhone.,0.0
16,BMW,3 Series,"My understanding is that once my iPhone is paired to Carplay, there is no need to re-pair. I frequently need to pair my iPhone to Carplay each time I start the car. After the Carplay is connected, because connectivity is lost,  I would occasionally need to re-pair my iPhone while driving. Unsafe!",-0.5848
17,BMW,3 Series,The noise occurs after I turn the car off and when I first unlock the car....it's almost like a machine is turning on or something.,0.2975
18,BMW,7 Series,: Connectivity issues via BlueTooth when attempting to play music from certain popular BMW approved apps.,0.8442
19,BMW,7 Series,Nav attempts to take me off toll road even when toll roads are enabled.  Causes extra time for trips in FLORIDA,0.0
20,BMW,X1,"after it rains, or the car gets wet. the brakes squeak a little.",0.0
21,BMW,X1,"the cup holders feel too far away to have a normal reach. if they were in front of the gear shift, it would be easier to grab my coffee.",0.4404
22,BMW,X1,the rubber weather strip is loose,-0.3182
23,BMW,X5,: Entertaainment/communication/navigation system has completely turned off on ocasion without warning while using entertainment/audio applications from telephone.,0.2584
24,BMW,X5,"Visited dealer this AM. Mike service mgr. spent a great deal of time with me reviewing Excessive fuel consumption problem,\.  Everything is ok at present time.   Mike and Rick were excellent in the service I received from both.",0.875
25,BMW,X5,Only happens around the rear view side mirror on the driver side when there are moderate cross winds at high way speeds,0.0
26,BMW,3 Series,It jammed!  I returned to the Deal and it was repaired.,0.0
27,BMW,X5,: The wheel hubs have a significant amount of surface rust. This is due to the surface not being sealed or painted with high temperature paint at the factory. This is very unsightly and can be seen through the factory rims/ wheels supplied on the vehicle.,0.2023
28,BMW,X5,iPhone 6 - latest operating system. The phone pairs correctly all the time no issues there. The problem is that the bluetooth audio pairing to play music from the iPhone is very hit or miss. I would say 60% of the time it works and 40% it doesn't. I am a tech expert and have tried many many different trouble shooting methods. I am convinced its a bug between Apple and BMW,-0.5209
29,BMW,X5,"When setting to auto mode, the wiper does not wipe fast enough as water accumulates up on the wind shield, i.e. the sensor cannot recognize the water amount correctly.",0.0
30,BMW,X5,"The plug is used to power up a drive record camera, but the power connection is rather unstable and drops for most of the time.",-0.5023
31,BMW,X5,: The engine noise is much larger than expected.,0.0
32,BMW,i3,Controls for seat height adjustment are not intuitive.,0.0
33,BMW,i3,"Car has no AM radio.  The HD FM radio is not sufficient.  Reception is poor outside of downtown area, and not all AM stations have equivalent HD FM channels.",-0.6486
34,BMW,i3,"It's not really hard to open or close, but it sometimes takes one or two tries to find the right spot to push for the latch to disengage/engage.  Door has a plasticky 'give'.  Inside, the charging port lid is attached to a rubbery 'cord' that feels like it might get stuck in the door or get in the way.  I feel I must 'tuck it in' carefully, for the door latch to connect.  It is a very minor inconvenience, so I don't feel the need to have it corrected.",-0.229
35,BMW,i3,"There is not a digital clock reading that is always there, I have to flip around on the dial to find it, which is annoying",-0.4019
36,BMW,i3,going to menu and then dialing to what you want takes too much time while driving,0.0772
37,BMW,i3,: There is no AM radio.... not sure why,-0.4874
38,BMW,i3,"turning on fan works, though slowly",0.3182
39,BMW,4 Series,The front BMW emblem came off and I have pressed it back on just today.,0.0
40,BMW,4 Series,I am unhappy that I cannot open the passenger side with my driver side -- In my last car I was able to control with a double click but cannot with this model,-0.2263
41,BMW,4 Series,: I think I have turned off the engine as I lock the car from the outside but several times to my surprise the engine is still running and I don't realize it until I return home.,0.3919
42,BMW,4 Series,Perhaps I have not tried out controls on my wheel which is part of inadequate introduction to car.  I think I can use more help.  But when I am driving and I am the only driver I cannot  do much driving as it would be unsafe. : sometimes my podcasts bounces out of contact and goes back to radio which us difficult to control while driving.,-0.2975
43,BMW,4 Series,THE TIRE HAS A CRACK ON THE OUTER SIDE WALL WHICH BECAME NOTICEABLE AFTER A 220 MILE DRIVE AT NORMAL ROAD WAY SPEED HAVE NOT HAD A CHANCE TO TAKE IT TO THE DEALER AS YET BECAUSE I AM AWAY AND WILL NOT DRIVE THE CAR FOR ANOTHER 2 MONTHS,0.4084
44,BMW,4 Series,The valve stem was missing a gasket and the tire would not hold air.,-0.296
45,BMW,4 Series,Applications on my iPhone  are much better at providing a shorter route. The BMW system just doesn't compare to current apps on phones.,0.4404
46,BMW,4 Series,AC needs to be charged - I'm assuming thats the problem but haven't had it diagnosed yet.,-0.3071
47,BMW,2 Series,"there is a built in charger in the middle console that does not fit or change to fit my I- phone, only Samsung,should be changeable for other brands",-0.4973
48,BMW,2 Series,"downshifting below 10-15 mph is clunky ,when in fully auto.The paddles are fantastic and the transmission feels great at all speeds over 25mph : under 10 mph the transmission shifts are clunky, you can feel the down shifts under your butt.",0.8271
49,BMW,2 Series,sub woofers seem to have blown out,0.0
50,BMW,X4,: When exterior is wet  water appears to drop into trunk when hatch is opened.,-0.2732
51,BMW,X4,Not clear if memory of seat position has been stored,0.3818
52,BMW,X4,"Front defogging needs to be constantly on rather than on for a normal period before returning to regular climate control. : In addition to fogging, ice appears to build up on the exterior during snow conditions if the front defogger is not constantly on",0.0
53,BMW,X4,When temperatures are cold there is a noticeable crack/slap noise when going over bumps,0.0
54,BMW,2 Series,I did  change my Bmw series2 for the coupe series 4,0.0
55,BMW,2 Series,very hard to understand,-0.1761
56,BMW,X1,Area to too tight for larger cups & water bottles,0.0
57,BMW,X1,i lose signal in the middle of driving on 280 freeway palo alto - stanford and it gets intermittent listening to WILD HD and STAR HD station which i enjoy the most.,0.1779
58,BMW,X1,On occasion lamp turns on and stars beeping as if I didn't buckle up. But I did and have been for a while. It ususally stops after two minutes of beeping while driving. Very distracting and annoying.,-0.7233
59,BMW,X3,: The cover on the rear windshield wiper came off.,0.0
60,BMW,X3,: The driver's door does not stay open long enough to exit the vehicle.,0.0
61,BMW,X3,"There is small indentation at the left door that I have not noticed when I got the car, but I noticed it as soon as I parked it at the first stop.",-0.4215
62,BMW,X3,: When iPhone 6s is connected and the first call is made the audio is garbled and call has to be cancelled.,-0.25
63,BMW,X3,"Leather color is oyster, which is very light and jeans leave very noticeable blue """"tint"""" on it. I was expecting this problem based on previous BMW cars I had,",-0.5147
64,BMW,X3,: When AC or heating reaches set temperature the system start to deliver air that has a musty smell to it ,0.0516
65,BMW,X3,The tire pressure keeps going down and I keep filling it up and it is impossible to tell if it is actually a flat tire or not.  It seems to be weather related because it happens when it is cold at night but when the weather gets warmer it is fine.,0.5267
66,BMW,X3,If I'm driving and just stopped in bumper to bumper traffic it is SUPER annoying to have the beeping noise go off.  I only need this when trying to park and not when I'm just in regular traffic and driving.  It is distracting and potentially more of a hazard actually.  It sucks.,-0.3954
67,BMW,X3,Small high-pitched wind leak between drivers window and door.,-0.34
68,BMW,X3,They feel underpowered for the size of the vehicle.  It makes the car feel unstable when stopping.,-0.4767
69,BMW,X3,"This is the most disappointing aspect of the car.  I hate that I paid extra for the Nav option, only to have to use my cell phone because the Nav system can't provide basic directions.  It constantly thinks locations are on the wrong side of the road, and is always demanding U-Turns when they are not required.  It's so bad that I don't even try to use it anymore.",-0.9492
70,BMW,X1,doesnt park straight/even.  sometimes car is sticking out into street.  Don't trust system any more,-0.4023
71,BMW,X1,Not intuitive to understand to pull loop located at bottom of seat to fold rear seat.,0.0
72,BMW,X1,"Have to remove / re-assemble multiple separate pieces / steps to remove / replace cargo cover, panel orientation is not inuitive or labeled for proper assembly.  too many steps and is cumbersome to align tabs and pins",0.0
73,BMW,X1,"The switch to turn auto shut down on off is poorly located and gets engaged accidentally.  Button / system use is not intuitive.  System works as intended, this is just a design issue.",0.0772
