,Make,Series,Total_Problems,Category,Mode,Verbatim,Score
0,Mercedes-Benz,GLA,4,Features/Controls/Displays (FCD),D,Uncomfortable position to turn the back wipers on,-0.3818
1,Mercedes-Benz,GLA,4,Audio/Communication/Entertainment/Navigation (ACEN),M,: Audio disconnected by itself ... Not frequent just once,0.0
2,Mercedes-Benz,GLA,4,Seats,D,: Don't like that the defroster goes on high automatically and shuts off automatically. Constantly have to turn it back on.Also heated seats shut off automatically and constantly have to put back on.,-0.2755
3,Mercedes-Benz,GLA,4,"Heating, Ventilation, and Air Conditioning (HVAC)",D,: Don't like that the defroster goes on high automatically and shuts off automatically. Constantly have to turn it back on.Also heated seats shut off automatically and constantly have to put back on.,-0.2755
4,Mercedes-Benz,S-Class,4,Driving Experience,D,"Excessive Brake dust has been a fault of all four Mercedes we have owned.  Other brands do NOT have this problem, and makes a mockery of the slogan 'The Best or Nothing'.",-0.4451
5,Mercedes-Benz,S-Class,4,Driving Experience,D,I wear a size 16 shoe and drive with two feet.  The brake pedal should be one to two inches further to the left of the gas pedal.,0.0
6,Mercedes-Benz,S-Class,4,Driving Experience,M,"The tire compound is too soft and requires replacing all four tires after 30,000 miles.  A $100,000 vehicle should be equipped with tires that achieve 50,000 miles as a minimum.",0.0
7,Mercedes-Benz,S-Class,4,Audio/Communication/Entertainment/Navigation (ACEN),D,The navigation system is NOT mapped for Interstate 4 east bound between Mile Marker 119 and Mile Marker 126.  The voice repeatedly advises 'Please drive the highlighter route.',0.3182
8,Mercedes-Benz,GLE,4,Features/Controls/Displays (FCD),U,Collision avoidance warning gives mostly false alarms,-0.8271
9,Mercedes-Benz,GLE,4,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
10,Mercedes-Benz,GLE,4,Audio/Communication/Entertainment/Navigation (ACEN),D,Poi list not great,-0.5096
11,Mercedes-Benz,GLE,4,Interior,M,Round smudge hard to get rid of,-0.1027
12,Mercedes-Benz,GLA,4,Audio/Communication/Entertainment/Navigation (ACEN),D,"When I say a particular frequency for radio station, it often gives me a station below or above the frequency that I asked for.",0.0
13,Mercedes-Benz,GLA,4,"Heating, Ventilation, and Air Conditioning (HVAC)",D,When I have the heat on and I come to a stop the heat seems to turn off until I am moving again.,-0.296
14,Mercedes-Benz,GLA,4,Interior,D,"In my previous car the PRIUS, I had tons of storage.  I had to leave out half the stuff I took out of my PRIUS because it would not fit into the MERCEDES.",-0.3204
15,Mercedes-Benz,GLA,4,Interior,D,Cargo net configuration provided by Mercedes is not as good as the PRIUS,-0.3412
16,Mercedes-Benz,E-Class,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
17,Mercedes-Benz,E-Class,5,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
18,Mercedes-Benz,E-Class,5,Audio/Communication/Entertainment/Navigation (ACEN),D,"There is no list of previous sites. You can access them, but I liked the system. in  my previous ca2014 better",0.7876
19,Mercedes-Benz,E-Class,5,Engine/Transmission,M,: 4 cylinder not as smooth  and noisier. than prior 6 cylinder,0.0
20,Mercedes-Benz,E-Class,5,Engine/Transmission,M,: 4 cylinder not as smooth  and noisier. than prior 6 cylinder,0.0
21,Mercedes-Benz,GLC,2,Driving Experience,D,You can hear the brake noise every time the brakes are applied.,0.0
22,Mercedes-Benz,GLC,2,Interior,M,It seems to be around the sunglass holder that rattles,0.0
23,Mercedes-Benz,CLA,1,Seats,D,It is difficult to understand the memory button sequence to set the memory seating.,-0.3612
24,Mercedes-Benz,CLA,1,Driving Experience,M,"Tire had to be replaced, I had to pay for it",-0.1027
