,Vehicle,Total_Problems,Category,Mode,Verbatim,Score
1638,BMW 2 Series 2dr Cnv,8,Interior,D,Small. Cheap,0.0
1306,BMW 2 Series 2dr Cnv,11,Audio/Communication/Entertainment/Navigation (ACEN),D," : the audio hasn't good quality to listen, and not easy connect your personal phone music.",-0.5875
1305,BMW 2 Series 2dr Cnv,11,Audio/Communication/Entertainment/Navigation (ACEN),M,": the audio hasn't good quality to listen, and not easy connect your personal phone music.",-0.5875
1304,BMW 2 Series 2dr Cnv,11,Audio/Communication/Entertainment/Navigation (ACEN),D,"the radio hasn't bad quality to listen to anything, I am tired to listen to the radio.",-0.0129
1303,BMW 2 Series 2dr Cnv,11,Driving Experience,D,,0.0
1302,BMW 2 Series 2dr Cnv,11,Driving Experience,D,,0.0
1301,BMW 2 Series 2dr Cnv,11,Driving Experience,D,,0.0
2180,BMW 2 Series 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),M,: Computer screen jumping from screen to screen unprompted.,0.0
1978,BMW 2 Series 2dr Cnv,4,Interior,D,In a difficult place-too far forward,-0.3612
1977,BMW 2 Series 2dr Cnv,4,Audio/Communication/Entertainment/Navigation (ACEN),D,I will take it to dealer for help with this.,0.4019
886,BMW 2 Series 2dr Cnv,2,Features/Controls/Displays (FCD),M,: A few times the backup camera errors out.,-0.34
887,BMW 2 Series 2dr Cnv,2,Interior,D,The clearance when a can is placed in the cup holder to the lower portion of the display panel makes it difficult to insert & remove without rubbing against the panel.,-0.5719
1976,BMW 2 Series 2dr Cnv,4,Audio/Communication/Entertainment/Navigation (ACEN),D,Media device ports difficult to use. I am going tomorrow to check on this.,-0.3612
1307,BMW 2 Series 2dr Cnv,11,Audio/Communication/Entertainment/Navigation (ACEN),D,"my phone has Pandora there, when I start my car then try to use Pandora to listen to music, the connection doesn't work. It's difficult to let me enjoy the music when I driving.",0.6497
1975,BMW 2 Series 2dr Cnv,4,Exterior,M,It is too heavy for me.,0.0
2754,BMW 2 Series 2dr Cnv,9,Features/Controls/Displays (FCD),D,lane departure warning is poorly designed- it is on the dashboard and 'jiggles' the steering wheel.,-0.34
2039,BMW 2 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),M,": Shortly after Bluetooth connects my phone to my car, the audio system changes from my normal SiriusXM station Presets that I am already playing to what it says on the vehicle screen as Pandora, seemingly as an unconfirmed default.  But it doesn't even play Pandora; it plays my music downloads that are on my iPhone.  And it plays them in different order than listed on my phone, but in this same order each time.  I have to then override and reselect my SiriusXM Presets.  Dealer BMW Product Genius is unable to determine why this happens.  This technology problem is a bit annoying.",-0.7556
2040,BMW 2 Series 2dr Cnv,3,Engine/Transmission,M,"See earlier explanation.  Shutdown no longer works when in Comfort driving/handling setting, but does in Eco setting.  This is my preference, but unclear if this was 'fixed' by the dealer during a service when in the shop for a ding repair, or if it has malfunctioned when in the Comfort setting - to be determined next service visit. : The engine stop function when the vehicle is stopped, which saves fuel when in traffic stop and go conditions, originally worked in both Comfort and Eco driving/handling settings. Now, it works only in Eco setting, which is acceptable and preferable to me.  It is unclear if the dealer made this change during a recent service visit, or if it has malfunctioned to no longer work when in the Comfort setting.",0.296
1566,BMW 2 Series 2dr Cnv,4,Driving Experience,M,"Discovered this and told I had to buy a NEW TIRE ... I was not happy about this.  I was told I must have hit something ... HOWEVER, I did not hit anything and I am the only driver of this vehicle.",-0.4585
1240,BMW 2 Series 2dr Cnv,1,Interior,M,,0.0
562,BMW 2 Series 2dr Cnv,3,Interior,D,insulated coffee mugs do not fit,-0.2755
561,BMW 2 Series 2dr Cnv,3,Seats,D,difficult to locate seat memory button while seated : difficult to locate seat memory button,-0.6124
560,BMW 2 Series 2dr Cnv,3,Audio/Communication/Entertainment/Navigation (ACEN),D,: I-drive controls sometimes engage unexpectedly while driving.,0.34
1567,BMW 2 Series 2dr Cnv,4,Features/Controls/Displays (FCD),D,There is NO audible warning for collision ... a red car indicator isn't positioned to be helpful.  No audible warning when backing up ... just lights which are difficult to understand.,-0.876
962,BMW 2 Series 2dr Cnv,1,Audio/Communication/Entertainment/Navigation (ACEN),D,Itâ€™s not all the time itâ€™s just like sometimes I gets confused but most the time is ok,0.4404
965,BMW 2 Series 2dr Cnv,1,Exterior,M,It seems that the door does not want to stay open to the 2nd/widest open set point.  It almost always swings back to the lower position or closes partially.,-0.3447
1568,BMW 2 Series 2dr Cnv,4,Features/Controls/Displays (FCD),U,"VISOR doesn't block the sun ... need to be bigger.  Speed Warning notification does not stay set, goes back and consequently never works.  The storage in the vehicle is not satisfactory, seems like a better job could have been done using the interior space.  the center console is an example .. it doesn't hold much of anything.  The back up warning DOES NOT HAVE sound ... neither does the FRONT COLLISION warning ... difficult to see when having your eyes on the road ... it needs to have an audible warning sound.  These are design features I believe that the dealer cannot fix, except for the speed warning, which they handed off to BMW International. : The SPEED WARNING notification does not work and STILL does not work.  I picked car up in December this is now April.  I was told it is a problem with the software.  I am VERY disappointed that my vehicle does not have an ANDROID connection for text messages etc.  THIS IS A HUGE PROBLEM for ME AND A MAJOR DISAPPOINTMENT.",-0.9818
1880,BMW 2 Series 2dr Cnv,1,Seats,D,I compared the heat from the driver and passenger seats and find a big difference.  The driver seat gets barely warm. The passenger is as expected and what I am used to in other cars,0.1548
1308,BMW 2 Series 2dr Cnv,11,Seats,D,,0.0
1309,BMW 2 Series 2dr Cnv,11,Engine/Transmission,D,"when a/c is on, you stop/go, the engine goes to slowly",0.0
1310,BMW 2 Series 2dr Cnv,11,Engine/Transmission,M,,0.0
1637,BMW 2 Series 2dr Cnv,8,Interior,D,Diffficult to use,0.0
1805,BMW 2 Series 2dr Cnv,2,Features/Controls/Displays (FCD),U,Cannot connect garage door opener.  Can't link iPhone on bluetooth.,0.0
1806,BMW 2 Series 2dr Cnv,2,Audio/Communication/Entertainment/Navigation (ACEN),D,We have two iPhones.  An iPhone 8 connects.  An iPhonel 7 will not connect. The iPhone 7 has bluetooth and has lined to other vehicles./devices. : Cannot connect garage door opener.  Can't link iPhone on bluetooth.,0.0
2753,BMW 2 Series 2dr Cnv,9,Features/Controls/Displays (FCD),D,,0.0
2752,BMW 2 Series 2dr Cnv,9,Features/Controls/Displays (FCD),D,I have to lower the steering wheel so much so I can see all the controls on the dashboard that the steering wheel is almost in my lap!,-0.3595
2751,BMW 2 Series 2dr Cnv,9,Features/Controls/Displays (FCD),D,": at night, the turn signal lights on the side mirrors are so bright and placed so poorly that it blinds me",0.5777
2756,BMW 2 Series 2dr Cnv,9,Audio/Communication/Entertainment/Navigation (ACEN),D,"apple car play would not work at dealership and I was sent home to address the issue with Apple. I went to the internet and resolved the issue. However, carplay does not work consistently, nor does the bluetooth connection to my device. I have to pari my phone frequently.",0.4767
2757,BMW 2 Series 2dr Cnv,9,Audio/Communication/Entertainment/Navigation (ACEN),D,,0.0
1785,BMW 2 Series 2dr Cnv,1,Seats,D,Passengers have complained itâ€™s difficult to buckle belt.,-0.6369
737,BMW 2 Series 2dr Cnv,1,Driving Experience,M,I think that the noise is really normal and that since it is a sports car and i have never driven one i was not used to what a sports car should sound or feel like. I took it to the dealer for a test drive and the dealer put me in a differnt vehicle but was the same make and model and tires and the sound in the suspension was the same.,0.1901
2750,BMW 2 Series 2dr Cnv,9,Exterior,D,the car is loud,0.0
2749,BMW 2 Series 2dr Cnv,9,Exterior,M,,0.0
1819,BMW 2 Series 2dr Cnv,1,Exterior,M,,0.0
1370,BMW 2 Series 2dr Cnv,1,Driving Experience,M,I think the run flat tires go flat way too easily which is both a problem in my area which has a lot of pot holes and dirt roads and is very expensive to replace!,-0.4574
